"X2_CHAVE","X2_NOME","X2_PATH","X2_NUMERO","X2_MODO","X2_ARQUIVO"
"ZZ1","Controle de Fornecimento","\DATA\","ZZ1","Compartilhado","ZZ1"
"ZZ2","Ocorrencias do Fornecedor","\DATA\","ZZ2","Compartilhado","ZZ2"
